hoa_label,latitude,longitude,legalAcreage,imprvActualYearBuilt,ShapeSTLength,ShapeSTArea,improvementValue,propType,situs_city,compactness,has_sidewalk
1.0,33.224396104920025,-96.9086928391441,0.1477,2006.0,341.70887832532065,6372.381799705711,251362.0,R,AUBREY,18.32359723514075,True
1.0,33.24202869257012,-96.87553770182976,0.22,2022.0,411.9996679438132,9584.9865909312,705342.0,R,,17.709333735157724,False
1.0,33.03743705002996,-97.32642577380123,0.1377,2007.0,339.73929801554755,6069.344806864242,257567.0,R,JUSTIN,19.017339480458816,False
1.0,33.189370787253424,-96.8961549734636,0.1747,2009.0,371.5269174720477,7754.845373214008,398844.0,R,LITTLE ELM,17.799484549757576,False
1.0,33.14131604864621,-96.86950356864412,0.2152,2018.0,403.9285254215428,9515.221127129073,904969.0,R,FRISCO,17.147079554886805,False
1.0,33.13533270288125,-97.22979440108514,0.1098,2020.0,282.54863025734795,4713.845888921317,402336.0,R,DENTON,16.936007315795404,False
1.0,33.0482638493827,-96.8641753093958,0.2046,2010.0,382.8022656544864,9235.189259695662,573684.0,R,CARROLLTON,15.867306069159756,False
1.0,33.248727662495845,-96.9022349954379,0.138,2020.0,340.5629828482622,6049.103466881725,289462.0,R,AUBREY,19.17360910116724,False
1.0,33.23591029219624,-96.96152435238392,0.15,2010.0,330.53743522021125,5660.299781712872,304601.0,R,AUBREY,19.301980512575174,False
0.0,33.34818792492476,-96.89509444807034,5.0,1997.0,2503.4600305882364,217316.8516114017,32390.0,R,PILOT POINT,28.83951280483226,False
1.0,33.143382251729726,-96.8925989861812,0.1297,2008.0,327.99629865640435,5750.561341050504,284286.0,R,FRISCO,18.7080122360104,False
1.0,33.17961636177393,-96.85260735028004,0.1612,2011.0,376.0215711467773,7172.366160230319,799044.0,R,FRISCO,19.71346955927729,False
1.0,33.10326922277079,-97.2379999060676,0.16,2017.0,360.3807894240037,6944.752484394345,322853.0,R,ARGYLE,18.701071590054585,True
1.0,32.99173619863282,-97.37364338257116,0.127,2013.0,307.6737587812955,5619.041595243299,250484.0,R,HASLET,16.84684838829921,False
1.0,33.11419228382145,-96.92745445471976,0.198,2018.0,388.36168039680337,8705.538651655246,510752.0,R,THE COLONY,17.325153656281966,False
1.0,33.14104287432417,-96.92934730987174,0.1263,2015.0,324.9662846125745,5646.460786000293,328423.0,R,FRISCO,18.70252714704593,False
1.0,33.20808524452274,-96.86757736343796,0.229,2019.0,418.0792994805929,10030.87661903304,726761.0,R,FRISCO,17.42522685629771,False
1.0,33.13356001615057,-96.91839895126944,0.118,2014.0,311.61676767107866,5092.430552274783,299622.0,R,FRISCO,19.068499589139083,False
1.0,33.19358641166499,-97.15317416854666,0.164,2022.0,370.0001521464585,7150.011675998404,259749.0,R,DENTON,19.146837626567397,False
1.0,33.22857111488688,-96.8646457849588,0.185,2018.0,383.65583340134833,7896.99442420874,504960.0,R,PROSPER,18.638964471300284,False
0.0,33.13942044546754,-96.97886105975164,6.575,0.0,2817.3117802715155,295268.6545187151,0.0,R,LAKEWOOD VILLAGE,26.88143677219746,False
1.0,32.9930708847427,-96.9095100060278,0.172,2017.0,369.07024465340857,7531.70082728177,568293.0,R,CARROLLTON,18.085270327670035,False
1.0,33.133658585743525,-96.85259742666769,0.152,2019.0,349.6751421207624,6548.656391086379,619051.0,R,FRISCO,18.671418641479693,True
1.0,33.14289676145309,-97.2409236124035,0.2152,2009.0,413.9465734111864,9993.603759566757,342942.0,R,DENTON,17.14614364961486,False
1.0,33.20226960103032,-96.94698141277838,0.126,2016.0,322.9416517678049,5590.517746721665,292904.0,R,LITTLE ELM,18.655036111400527,False
1.0,33.05355947243354,-97.0830174837712,0.2093,2012.0,382.8139093800231,9044.336620464204,633881.0,R,FLOWER MOUND,16.20312194962233,False
1.0,33.24392702054413,-96.84167578467051,0.27,2023.0,468.4755980759131,11682.532452015115,685035.0,R,PROSPER,18.786113960653136,False
1.0,33.038579987837934,-97.32875170161442,0.1377,2012.0,334.9122417298768,5830.476918057571,248730.0,R,JUSTIN,19.237913336581688,False
1.0,33.23320326637705,-96.90631834119462,0.124,2021.0,320.6878760845904,5370.82278035206,314199.0,R,AUBREY,19.14803710222297,False
1.0,33.18488756603472,-96.86350329214244,0.164,2013.0,375.7547185613055,7307.733524104425,456517.0,R,FRISCO,19.32084798321777,False
1.0,33.172160036511045,-96.96208303587052,0.1377,2018.0,342.4544563470443,6772.910347891805,67176.0,R,LITTLE ELM,17.3153118302317,False
1.0,33.07719444698909,-97.12259837881324,0.2,2014.0,393.5309643455449,8928.238636679733,480586.0,R,ARGYLE,17.345707949885945,False
1.0,32.99405156730817,-97.3688486585244,0.126,2015.0,320.0022707826924,5500.0676069573765,179775.0,R,HASLET,18.6182171972842,False
1.0,33.080313489240424,-97.298704930073,0.14,2020.0,342.8133337675913,6120.46276908471,260178.0,R,JUSTIN,19.201322880757388,False
1.0,33.14033449666715,-96.93306944662542,0.1377,2015.0,340.6670555389786,6058.71551179475,354366.0,R,FRISCO,19.15489223807759,False
1.0,33.268694973091954,-97.21611324629012,0.1928,2019.0,381.3079279993258,8488.09563859249,245059.0,R,KRUM,17.129370608652668,True
1.0,33.02390178727927,-97.2234381790681,0.2783,2008.0,460.48276708257407,11908.61204080816,393699.0,R,ROANOKE,17.80596916360994,True
1.0,33.137655978580234,-96.9134340782631,0.139,2013.0,331.8687316546245,6149.354920281195,404924.0,R,FRISCO,17.910310346018033,False
1.0,33.143163055236016,-96.91683891048804,0.1171,2007.0,308.8050625949068,5497.40186599373,188135.0,R,FRISCO,17.346479120279223,False
1.0,33.15270538355145,-97.01863533020244,0.2557,2005.0,461.669337484721,11606.45578785104,417701.0,R,SHADY SHORES,18.36379520755012,False
1.0,33.19928161369631,-96.90561504808645,0.1667,2018.0,360.5328793167071,7243.8138225899165,474446.0,R,LITTLE ELM,17.944132780309566,False
1.0,33.24073762905047,-96.9551179985985,0.17,2024.0,375.8423074051074,7384.506083703096,24712.0,R,PROVIDENCE VILLAGE,19.12889480141902,False
1.0,33.24535743452719,-96.9051479895342,0.138,2020.0,339.94023419542344,5989.512801330656,284292.0,R,AUBREY,19.293616468966587,False
1.0,33.209877260184044,-96.93330373427696,0.1263,2012.0,324.2825489607304,5551.166690000326,252248.0,R,LITTLE ELM,18.943616258163978,False
0.0,33.4052740994686,-97.24142535321694,1.7403,0.0,2410.044789029813,76960.14692681507,0.0,R,SANGER,75.47173591876259,False
1.0,33.14860850101816,-96.8594382590555,0.134,2019.0,324.1792025186993,5729.183496679541,519564.0,R,FRISCO,18.34330413863826,False
1.0,33.09088450466025,-97.2238751162551,0.144,2023.0,350.2797981804869,6292.408427027776,253013.0,R,ARGYLE,19.499042129297727,False
1.0,33.22887958022619,-96.91959938495806,0.135,2017.0,334.7732020450243,5861.883027847657,293829.0,R,AUBREY,19.11895823834431,False
1.0,33.204330089461,-96.9813795296458,0.1263,2005.0,341.0017478798016,6082.0293124656655,193997.0,R,AUBREY,19.118979222732285,False
1.0,33.03131243299947,-96.9014214405456,0.225,2005.0,406.8049472314412,9369.61376513778,614560.0,R,THE COLONY,17.662442576632944,False
1.0,33.17101240621248,-97.16609165446162,0.2514,2007.0,418.4312677745348,10851.017935879072,226899.0,R,ARGYLE,16.135327292426993,False
1.0,33.181420699142926,-96.9564886085216,0.138,2020.0,339.7278461088484,5964.559928236501,260304.0,R,LITTLE ELM,19.350129902354976,False
1.0,33.12205163068422,-96.90329337070835,0.244,2014.0,420.8508009915259,10596.430134803955,537289.0,R,FRISCO,16.714628836505394,False
1.0,33.21607460243307,-96.8695221592216,0.153,2019.0,350.8890723854523,6627.410583832887,560959.0,R,FRISCO,18.577865300796915,False
0.0,33.41426114403282,-96.9438653196567,0.67,0.0,885.4351086597385,25900.0969285307,0.0,R,PILOT POINT,30.26997674219741,False
1.0,33.249581972275806,-96.85807527178004,0.235,2024.0,422.2550557545642,10256.883732016177,719253.0,R,PROSPER,17.383382396520762,False
1.0,33.11003534332209,-96.90869835806244,0.27,2015.0,453.24427755903525,11749.696861229431,725243.0,R,THE COLONY,17.483887249710417,False
1.0,33.13264484939281,-97.02260954148134,0.1313,2007.0,328.385237641287,5888.414190882447,274447.0,R,LAKE DALLAS,18.3133965792858,False
1.0,32.99753504882358,-97.37711347832726,0.132,2019.0,331.86656015103824,5829.517198511737,257158.0,R,HASLET,18.892716154023876,False
1.0,33.22623220143664,-96.89265493750696,0.1416,2009.0,333.12839779350395,6023.382408757972,204718.0,R,PROSPER,18.42395549303171,False
1.0,33.25397356961531,-96.96046810950102,0.14,2022.0,343.9809672711168,6099.58837893774,252819.0,R,AUBREY,19.39850666863841,False
1.0,33.0813815513031,-97.12793563944494,0.1931,2006.0,377.92986960301926,8321.207786835874,533568.0,R,ARGYLE,17.164694116173056,False
1.0,33.25060711884715,-97.15607057696872,0.11,2020.0,292.6307766536682,4916.447749102204,248743.0,R,DENTON,17.417610399818955,False
1.0,32.99554753037634,-97.37668751371348,0.164,2018.0,358.35069764719395,7164.916475950898,256469.0,R,HASLET,17.922780109894845,False
1.0,33.22906863110199,-96.87851604855987,0.184,2020.0,383.5393801583777,8074.008732773165,540782.0,R,PROSPER,18.21925898286062,False
1.0,33.228926917582406,-96.86976338365656,0.22,2018.0,411.4525128474832,9668.576575519992,556557.0,R,PROSPER,17.509627090004557,False
1.0,33.24956887558407,-97.10227680742112,0.271,2019.0,440.09308960130176,11673.947481817037,285329.0,R,DENTON,16.590954158093666,True
1.0,33.059737488097404,-97.08201558933249,0.2393,2019.0,436.6173168357087,10794.559153592,323442.0,R,FLOWER MOUND,17.66025630582403,True
1.0,33.22956790488048,-96.92164500330152,0.22,2019.0,411.0846397121289,9426.19805191169,390196.0,R,AUBREY,17.92775624664268,False
1.0,33.14136389997171,-96.91672720837794,0.1281,2007.0,322.4652311898246,5590.650026524814,211385.0,R,FRISCO,18.59959482939483,False
1.0,33.0988738255446,-97.30194371206636,0.1681,2019.0,364.2249095644056,7323.418388090537,326944.0,R,JUSTIN,18.11446208821456,False
1.0,33.2141623533477,-96.92400472702596,0.1205,2009.0,301.33275346876235,4996.775887331022,249775.0,R,LITTLE ELM,18.17200337987673,False
1.0,33.06513504970527,-96.87927198338484,0.1494,2016.0,351.3463878473604,6510.351287234934,402880.0,R,THE COLONY,18.96123247533957,True
1.0,33.249501394887965,-96.94709912191632,0.132,2018.0,329.9508304788546,5748.285352350754,223604.0,R,AUBREY,18.939134691558863,False
1.0,33.12164191618225,-97.23073029317092,0.247,2022.0,422.0600336365946,10855.604465830991,539908.0,R,ARGYLE,16.40946596332047,False
0.0,33.16364023281657,-97.25756278181612,4.541,1993.0,2392.8259675692643,200483.62930763068,145705.0,R,PONDER,28.559020658430697,False
1.0,33.197723266491124,-96.87985184169308,0.187,2018.0,379.63571085547727,8130.133082723893,490285.0,R,FRISCO,17.727049666997203,False
1.0,33.06949708340496,-96.84397663050648,0.223,2019.0,423.1005407149943,9615.257213249208,1707442.0,R,PLANO,18.617709706886533,False
1.0,33.09906512370638,-97.2442384755564,0.163,2023.0,354.5667728683263,6975.284947527212,54252.0,R,NORTHLAKE,18.02329186090485,False
1.0,33.1997091171194,-96.8874136549798,0.2294,2009.0,393.0614853395793,9188.996675640044,283518.0,R,LITTLE ELM,16.813297110763735,False
1.0,33.2103692566673,-96.918849422831,0.1422,2016.0,346.5263465318038,6184.678661605793,222648.0,R,LITTLE ELM,19.41580402327677,False
1.0,33.17922912284435,-96.96043576492134,0.143,2019.0,351.7470947663234,6258.185576652433,361835.0,R,LITTLE ELM,19.77027001853965,False
0.0,33.18232658282602,-97.1034264195472,0.625,0.0,1898.4465882937568,40627.83134124083,0.0,R,,88.71011150786494,False
1.0,33.23921521544574,-96.97303192670049,0.1157,2007.0,339.48492767139624,5869.873863352065,194886.0,R,PROVIDENCE VILLAGE,19.63415548596442,False
1.0,33.17760538950355,-96.91365272365228,0.16,2005.0,366.639494827316,7233.263157679135,214716.0,R,LITTLE ELM,18.584215206454747,False
1.0,33.10703405763021,-96.85878206875194,0.2101,2005.0,378.88255591278886,9054.732062819112,425230.0,R,FRISCO,15.853808834881626,False
1.0,33.17089885074869,-97.16003092852384,0.16,2013.0,356.5422930711421,7046.916839558281,224974.0,R,ARGYLE,18.039436202059196,False
1.0,33.157863776149114,-96.91912437729982,0.126,2015.0,320.2626741244553,5518.093151777743,191120.0,R,FRISCO,18.58761307867793,False
1.0,33.079354638309326,-97.08160424762175,0.2795,2005.0,460.9211778773667,13495.305319399631,527573.0,R,HIGHLAND VILLAGE,15.742387977726043,False
1.0,33.13451202438572,-96.88652488195088,0.1553,2017.0,355.15633946216025,6765.815330350965,740597.0,R,FRISCO,18.643137493617957,False
0.0,33.224334408172666,-96.87371234785245,0.81,0.0,1512.347002326443,34971.1426853109,0.0,R,,65.40230829822097,False
1.0,33.25664365418503,-96.9357567740866,0.1148,2024.0,305.8185481070476,5269.932013939552,190047.0,R,,17.746905295726528,False
1.0,33.20519548767518,-96.9661100033663,0.173,2020.0,364.4903830373716,7699.834547817476,431925.0,R,LITTLE ELM,17.254038187663035,False
1.0,33.24289531635464,-96.9046599891712,0.179,2020.0,371.5922581457205,7876.969198141217,394998.0,R,AUBREY,17.52968722366207,False
1.0,33.12849486244233,-97.0595248126594,0.165,2022.0,363.9254797313658,7308.479513555151,407314.0,R,,18.12165643374425,False
1.0,33.02258551791508,-96.8952582854498,0.2245,2005.0,404.5001569659769,9993.347681242109,516317.0,R,CARROLLTON,16.372929493148888,False
1.0,32.99539532351294,-96.97087910912173,0.0571,2020.0,216.8055891145182,2440.2221037769373,369814.0,R,LEWISVILLE,19.26245295399145,False
1.0,33.22609227595496,-96.89255275826125,0.1407,2010.0,338.6937288653033,6465.984315415236,287487.0,R,PROSPER,17.741064063394166,False
1.0,32.99347132543294,-97.39092965553588,0.2522,2022.0,436.9902350354089,11238.106885687472,384173.0,R,FORT WORTH,16.992227201496334,False
1.0,33.21960701249052,-97.10173642503044,0.21,2014.0,406.4426728761136,8983.605824985067,230172.0,R,DENTON,18.38856797069612,True
1.0,33.23415785906679,-96.85384903373024,0.16,2014.0,352.389387181845,7046.103081713578,523862.0,R,PROSPER,17.623682020870564,False
0.0,33.15369296988639,-97.10571575289204,0.7551,0.0,510.11461883083945,2698.9557613207407,0.0,R,DENTON,96.41392722109488,True
1.0,33.062210937881595,-97.05630742114155,0.243,2014.0,430.1844881327822,10585.877814195095,523442.0,R,FLOWER MOUND,17.481657834923237,False
1.0,33.11641900794654,-97.22201001277408,0.1109,2024.0,295.2355722776138,4612.9767805939655,317563.0,R,ARGYLE,18.895400363768346,False
1.0,33.285598163583,-96.84590588587162,0.1709,2022.0,364.17960935459456,7445.554341743488,476231.0,R,CELINA,17.812882934195137,False
1.0,33.08254136059345,-97.30721318073698,0.2,2017.0,408.5224830930154,8782.412368034244,294537.0,R,JUSTIN,19.00282202643121,False
1.0,33.205851904925325,-96.92312706824426,0.2,2014.0,385.37273353141256,7892.045203108939,287288.0,R,LITTLE ELM,18.81795401919001,False
1.0,33.253972327040515,-96.94614499257366,0.19,2020.0,372.3437075578052,8379.472289301428,298882.0,R,AUBREY,16.54517513410744,False
1.0,33.03019954621924,-97.34518745427128,0.1263,2022.0,319.9514188713317,5498.334645947611,265657.0,R,JUSTIN,18.618166595812134,False
1.0,33.033386651250105,-97.38253091189792,0.1734,2022.0,360.8317588832379,7554.8985020773,282462.0,R,,17.23379317180388,False
1.0,33.24867262280767,-96.9710038212493,0.132,2022.0,329.99996229398647,5749.990322084905,275171.0,R,,18.93915798358181,False
1.0,32.992122553693605,-97.36412132037285,0.13,2020.0,324.3801690291696,5739.781894175413,200399.0,R,HASLET,18.33214153418787,False
1.0,33.16035741256255,-97.13770517458144,0.137,2017.0,336.8502768989296,5996.091901326943,237182.0,R,DENTON,18.9236774409303,True
1.0,33.24593225157399,-96.91518150527858,0.1377,2021.0,342.62474360798683,5995.182284031598,227840.0,R,AUBREY,19.58100844491687,False
1.0,33.02302529747254,-97.30828134319516,0.1278,2019.0,321.8589616110309,5594.360011110038,257926.0,R,FORT WORTH,18.517433801829284,False
1.0,33.1953155663331,-96.88870653031124,0.1653,2006.0,348.8307795187331,6540.376800470246,337974.0,R,LITTLE ELM,18.604878044778417,False
1.0,33.22989866311127,-96.92677649980276,0.135,2022.0,336.00002726916864,5899.988682887931,416350.0,R,,19.13495506395135,False
1.0,33.24012732365686,-97.17273919591358,0.1606,2009.0,346.0709388738064,6705.199754483401,226191.0,R,DENTON,17.86152525178947,True
1.0,33.113354906331644,-96.92233011273548,0.128,2013.0,324.86786237476093,5586.289196034687,454881.0,R,THE COLONY,18.892528528394376,False
1.0,33.1260346925846,-97.05918300911506,0.1584,2015.0,353.72341230124346,7069.49420726283,414266.0,R,HICKORY CREEK,17.698614461200552,True
